[2025-12-21T04:53:16.174667] id=218: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.174990] id=219: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.175272] id=220: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.175517] id=221: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.175907] id=222: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.176200] id=223: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.176468] id=224: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.176769] id=225: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.177139] id=226: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.177507] id=227: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.177878] id=228: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.178247] id=229: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.178610] id=230: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.179023] id=231: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.179451] id=232: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.179812] id=233: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.180125] id=234: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.180534] id=235: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.180841] id=236: "VÁLVULA ROTATIVA Usinado" -> "VÁLVULA ROTATIVA - Usinado"
[2025-12-21T04:53:16.181113] id=237: "PISTÃO Bruto" -> "PISTÃO - Bruto"
[2025-12-21T04:53:16.181384] id=238: "PISTÃO Bruto" -> "PISTÃO - Bruto"
[2025-12-21T04:53:16.181651] id=239: "PISTÃO Bruto" -> "PISTÃO - Bruto"
[2025-12-21T04:53:16.181924] id=240: "PISTÃO Bruto" -> "PISTÃO - Bruto"
[2025-12-21T04:53:16.182183] id=241: "PISTÃO Bruto" -> "PISTÃO - Bruto"
[2025-12-21T04:53:16.182444] id=242: "PISTÃO Bruto" -> "PISTÃO - Bruto"
[2025-12-21T04:53:16.182692] id=243: "PISTÃO Bruto" -> "PISTÃO - Bruto"
[2025-12-21T04:53:16.182947] id=244: "PISTÃO Bruto" -> "PISTÃO - Bruto"
[2025-12-21T04:53:16.183261] id=245: "PISTÃO Bruto" -> "PISTÃO - Bruto"
[2025-12-21T04:53:16.183621] id=246: "PISTÃO Bruto" -> "PISTÃO - Bruto"
[2025-12-21T04:53:16.183951] id=247: "PISTÃO Usinado" -> "PISTÃO - Usinado"
[2025-12-21T04:53:16.184217] id=248: "PISTÃO Usinado" -> "PISTÃO - Usinado"
[2025-12-21T04:53:16.184482] id=249: "PISTÃO Usinado" -> "PISTÃO - Usinado"
[2025-12-21T04:53:16.184739] id=250: "PISTÃO Usinado" -> "PISTÃO - Usinado"
[2025-12-21T04:53:16.184996] id=251: "PISTÃO Usinado" -> "PISTÃO - Usinado"
[2025-12-21T04:53:16.185255] id=252: "PISTÃO Usinado" -> "PISTÃO - Usinado"
